  TF1 Chaîne n°1 , 
  21h05  ,
  Je suis une célébrité, sortez-moi de là ! Episode 6 Autre 2h05min Inédit , 
 _________ 
  France 2 Chaîne n°2 , 
  21h05  ,
  Planète bleue Voyage au coeur des océans Culture Infos 1h35min , 
 _________ 
  France 3 Chaîne n°3 , 
  21h05  ,
  La stagiaire Disparues Série TV 45min , 
 _________ 
  Canal+ Chaîne n°4 , 
  21h05  ,
  Le poulain Coup de Télé-Loisirs Cinéma 1h35min Inédit , 
 _________ 
  France 5 Chaîne n°5 , 
  20h50  ,
  Au bout c'est la mer L'Amazone Culture Infos 50min Inédit , 
 _________ 
  M6 Chaîne n°6 , 
  21h05  ,
  Scènes de ménages : enfin en vacances ! A la mer Coup de Télé-Loisirs Série TV 2h , 
 _________ 
  Arte Chaîne n°7 , 
  20h50  ,
  Viêtnam Le doute (janvier 1966-décembre 1967) Culture Infos 1h , 
 _________ 
  C8 Chaîne n°8 , 
  21h00  ,
  Histoire interdite Hitler, les secrets de l'ascension d'un monstre Culture Infos 1h50min , 
 _________ 
  W9 Chaîne n°9 , 
  21h05  ,
  Les douze travaux d'Astérix Cinéma 1h10min , 
 _________ 
  TMC Chaîne n°10 , 
  21h05  ,
  90' Enquêtes Tricheries, auto-écoles low-cost et faux permis : révélations sur le permis de conduire Coup de Télé-Loisirs Culture Infos 1h15min Inédit , 
 _________ 
  TFX Chaîne n°11 , 
  21h05  ,
  L'opération Corned Beef Cinéma 2h05min , 
 _________ 
  NRJ 12 Chaîne n°12 , 
  21h05  ,
  Nikita Cinéma 2h15min , 
 _________ 
  La Chaîne parlementaire Chaîne n°13 , 
  20h50  ,
  Brexit : une histoire anglaise Culture Infos 55min , 
 _________ 
  France 4 Chaîne n°14 , 
  21h05  ,
  La Fête de la musique 2019 : Tous à Nice ! Autre 3h55min , 
 _________ 
  CSTAR Chaîne n°17 , 
  21h00  ,
  Au coeur de l'enquête 100 jours avec les gendarmes de l'autoroute des vacances (n°1 - 1/2) Culture Infos 55min Inédit , 
 _________ 
  Gulli Chaîne n°18 , 
  21h00  ,
  Pokémon : Faites équipe avec Pikachu Téléfilm 1h10min Inédit , 
 _________ 
  France Ô Chaîne n°19 , 
  20h55  ,
  Private Practice Les liens du sens Série TV 40min , 
 _________ 
  TF1 Séries Films Chaîne n°20 , 
  20h45  ,
  Pédale douce Cinéma 1h40min , 
 _________ 
  L'Equipe Chaîne n°21 , 
  21h10  ,
  La petite lucarne de l'été Sport 1h50min , 
 _________ 
  6ter Chaîne n°22 , 
  21h05  ,
  Marvel : Les agents du S.H.I.E.L.D. Retour vers le passé Série TV 45min Inédit , 
 _________ 
  RMC Story Chaîne n°23 , 
  20h55  ,
  Les mystères de Laura L'avenir en jeu Série TV 55min , 
 _________ 
  RMC Découverte Chaîne n°24 , 
  20h55  ,
  Les mystères de l'histoire Marco Polo Culture Infos 35min , 
 _________ 
  Chérie 25 Chaîne n°25 , 
  21h05  ,
  Snapped : connexion mortelle Ludemann & Wade Culture Infos 55min Inédit , 
 _________ 
